datetime,T,TM,Tm,H,PP,VV,V,VM,pm2.5
2020-11,21.8,25.2,18.5,61.3,0.0,8.9,11.0,19.5,4.2
2020-12,17.9,21.3,14.7,61.7,0.0,7.6,10.9,18.7,9.7
2021-01,16.4,19.4,13.1,59.1,0.0,6.3,9.0,16.4,9.3
2021-02,18.2,20.0,15.0,65.9,0.0,6.0,8.7,14.7,15.7
2021-03,22.4,24.6,20.5,82.9,0.0,5.9,11.4,18.1,11.2
2021-04,25.2,28.1,22.8,86.0,0.0,7.9,12.4,19.8,9.0
2021-05,29.4,33.6,26.0,78.8,0.0,9.3,13.2,23.0,6.1
2021-06,30.8,35.1,27.3,68.8,0.0,9.3,10.0,20.6,2.8
2021-07,30.2,34.6,26.9,74.8,0.0,9.4,9.8,20.1,5.5
2021-08,29.9,34.1,26.4,81.3,0.0,9.3,9.4,19.3,3.8
2021-09,28.3,32.7,25.2,84.3,0.0,8.9,7.8,17.4,3.7
2021-10,23.8,26.8,21.5,82.9,0.0,8.5,9.5,18.5,1.2
2021-11,21.7,25.2,18.4,71.6,0.0,8.3,8.7,17.2,1.9
2021-12,18.3,22.3,14.4,71.4,0.0,7.4,7.8,15.0,5.5
2022-01,18.0,20.8,15.5,81.7,0.0,6.9,10.0,18.0,9.0
2022-02,15.1,17.1,12.5,80.1,0.0,7.4,9.8,17.2,8.9
2022-03,22.5,25.2,19.7,84.2,0.0,6.1,11.4,20.3,9.1
2022-04,24.4,27.9,21.1,76.0,0.0,8.1,11.5,19.7,3.9
2022-05,26.3,29.7,23.4,79.4,0.0,8.5,10.5,19.7,2.5
2022-06,30.3,34.3,26.4,75.0,0.0,9.3,9.9,18.6,1.1
2022-07,29.8,34.0,26.4,79.2,0.0,9.5,10.0,21.4,1.6
2022-08,29.2,33.2,26.0,80.6,0.0,9.1,9.9,19.3,2.7
2022-09,28.4,32.7,25.3,77.0,0.0,8.6,8.0,16.9,1.8
2022-10,25.5,29.8,21.8,68.4,0.0,8.5,8.3,18.5,1.8
2022-11,25.2,29.2,21.7,76.4,0.0,7.9,9.3,16.2,1.6
2022-12,17.2,20.3,13.6,61.1,0.0,8.7,9.5,17.4,7.7
2023-01,17.6,21.3,13.7,64.1,0.0,7.5,9.7,17.9,7.2
2023-02,20.4,22.8,17.9,78.1,0.0,6.4,10.5,18.5,7.6
2023-03,22.3,24.8,18.9,77.5,0.0,7.1,11.7,19.7,8.7
2023-04,25.1,28.1,22.9,82.9,0.0,6.3,10.9,19.5,8.4
2023-05,28.8,33.4,25.2,77.2,0.0,8.8,12.5,22.1,6.9
2023-06,29.6,33.9,26.3,79.5,0.0,9.0,10.3,21.5,4.2
2023-07,30.5,35.0,26.9,75.2,0.0,9.5,10.5,22.2,5.4
2023-08,28.9,32.9,26.0,82.5,0.0,8.6,8.0,19.2,4.9
2023-09,28.4,32.3,25.5,81.3,0.0,8.8,8.6,19.0,2.6
2023-10,27.0,30.8,23.9,70.2,0.0,9.1,9.1,17.6,2.6
2023-11,23.6,28.0,19.7,73.6,0.0,7.8,8.7,16.3,2.5
2023-12,19.1,22.6,15.8,71.9,0.0,7.6,9.6,17.2,7.3
2024-01,17.7,19.9,15.5,82.3,0.0,7.5,10.3,17.1,8.2
2024-02,19.1,22.0,16.5,83.7,0.0,7.5,12.8,19.8,7.3
2024-03,18.7,20.9,16.6,72.0,0.0,5.5,9.2,16.1,7.8
2024-04,27.3,30.8,24.6,85.4,0.0,7.2,12.3,20.9,5.0
2024-05,28.1,31.9,25.1,82.1,0.0,8.8,10.3,20.5,1.9
2024-06,30.0,33.0,26.2,81.2,0.0,9.0,10.4,21.3,2.5
2024-07,29.5,33.3,26.7,83.2,0.0,9.4,11.1,21.8,3.1
2024-08,28.6,32.5,25.6,79.0,0.0,8.8,8.8,19.8,1.9
2024-09,28.6,32.7,25.4,81.9,0.0,9.0,10.7,21.7,1.5
2024-10,26.7,31.2,22.7,66.6,0.0,8.8,8.5,17.9,1.8
